"alg","N","ub","lb","n","d","seed","totaltime","max_particles","tot_particles","scoretype","am","aw","chi","edgepf"
"gobnilp",300,1,0.25,30,0,39,0.518895,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,40,0.032,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,40,0.847429,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,41,0.0249999999999986,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,41,0.81881,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,42,0.0280000000000005,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,42,1.097277,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,43,0.0220000000000002,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,43,0.537371,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,44,0.027000000000001,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,44,0.588766,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,45,0.0240000000000009,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,45,0.660341,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,46,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,46,0.594958,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,47,0.0259999999999998,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,47,0.678058,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,48,0.0260000000000016,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,48,0.702683,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,49,0.0250000000000004,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,49,0.89384,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,50,0.0210000000000008,"1","30","bge",0.1,"NULL",0.5,2
"gobnilp",300,1,0.25,30,0,50,0.537561,"NULL","NULL","bge",0.1,"NULL",0.5,2
"dnc",300,1,0.25,30,0,51,0.0240000000000009,"1","30","bge",0.1,"NULL",0.5,2
